                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93179,                0.48519,                0.94069,                0.44712,                0.38693,                0.37296,                0.26305,                 1.0622,                0.94954,                 1.0101,               0.008317,               0.008317,               0.008317
                     36,                0.93055,                0.48403,                0.93975,                0.47044,                0.37961,                0.37345,                 0.2634,                 1.0624,                0.95006,                 1.0099,              0.0082675,              0.0082675,              0.0082675
                     37,                0.93005,                0.48395,                0.93994,                0.45251,                0.39258,                0.37436,                 0.2635,                 1.0631,                0.95218,                   1.01,               0.008218,               0.008218,               0.008218
                     38,                0.92791,                0.48191,                0.93822,                0.46095,                0.38075,                0.37352,                0.26233,                 1.0633,                 0.9539,                 1.0099,              0.0081685,              0.0081685,              0.0081685
                     39,                0.92856,                0.48182,                0.93947,                 0.4602,                0.37972,                0.37284,                0.26133,                 1.0637,                0.95619,                   1.01,               0.008119,               0.008119,               0.008119
                     40,                0.92633,                 0.4806,                0.93835,                0.45948,                0.37871,                0.37164,                0.25996,                 1.0635,                0.95936,                 1.0101,              0.0080695,              0.0080695,              0.0080695
                     41,                0.92679,                0.48054,                0.93927,                0.45145,                0.37924,                0.36932,                 0.2585,                 1.0635,                0.96183,                 1.0101,                0.00802,                0.00802,                0.00802
                     42,                0.92627,                0.48013,                0.93784,                0.43742,                0.39121,                0.36907,                0.25824,                 1.0638,                  0.963,                 1.0104,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.9235,                0.47723,                0.93686,                0.45303,                0.37434,                0.36616,                0.25605,                 1.0638,                0.96397,                 1.0105,               0.007921,               0.007921,               0.007921
                     44,                0.92424,                0.47758,                0.93654,                0.44722,                0.37476,                0.36571,                0.25593,                  1.064,                0.96378,                 1.0107,              0.0078715,              0.0078715,              0.0078715
                     45,                0.92387,                0.47696,                0.93647,                0.44879,                0.37128,                 0.3642,                0.25475,                 1.0641,                0.96324,                 1.0106,               0.007822,               0.007822,               0.007822
                     46,                0.92204,                0.47627,                0.93719,                0.42206,                0.38681,                0.36381,                0.25523,                  1.064,                 0.9633,                 1.0107,              0.0077725,              0.0077725,              0.0077725
                     47,                0.92217,                0.47583,                0.93705,                0.43553,                0.37565,                0.36284,                0.25511,                 1.0645,                 0.9651,                 1.0114,               0.007723,               0.007723,               0.007723
                     48,                0.92091,                0.47534,                0.93471,                0.44203,                 0.3723,                0.36293,                0.25518,                 1.0651,                0.96631,                 1.0113,              0.0076735,              0.0076735,              0.0076735
                     49,                0.92095,                0.47441,                0.93491,                0.43355,                0.38394,                0.36272,                0.25464,                 1.0658,                0.96782,                 1.0114,               0.007624,               0.007624,               0.007624
                     50,                0.91985,                0.47345,                0.93403,                0.44993,                0.36838,                0.36115,                0.25426,                 1.0658,                0.96597,                 1.0109,              0.0075745,              0.0075745,              0.0075745
                     51,                0.91831,                0.47195,                0.93273,                0.44722,                0.36919,                0.35948,                0.25302,                 1.0663,                0.96741,                 1.0104,               0.007525,               0.007525,               0.007525
                     52,                0.91795,                0.47128,                0.93478,                0.43199,                0.37858,                0.35774,                0.25181,                 1.0672,                0.96845,                 1.0112,              0.0074755,              0.0074755,              0.0074755
                     53,                0.91695,                0.47097,                0.93607,                0.45399,                0.36882,                0.35774,                0.25164,                 1.0678,                0.96908,                 1.0116,               0.007426,               0.007426,               0.007426
                     54,                0.91647,                0.47029,                0.93518,                0.45533,                0.37155,                0.35979,                0.25341,                 1.0676,                0.96846,                 1.0115,              0.0073765,              0.0073765,              0.0073765
