                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88951,                0.91143,                0.88091,                0.44355,                0.32275,                0.31673,                0.21044,                  1.025,                  1.806,                0.92613,               0.008317,               0.008317,               0.008317
                     36,                0.88678,                0.90899,                 0.8805,                 0.5388,                 0.3214,                0.31483,                0.20908,                 1.0269,                 1.8128,                0.92658,              0.0082675,              0.0082675,              0.0082675
                     37,                0.88731,                0.90835,                 0.8801,                0.44899,                0.32479,                0.31519,                0.20975,                 1.0267,                 1.8203,                0.92654,               0.008218,               0.008218,               0.008218
                     38,                0.88516,                0.90497,                 0.8795,                0.55973,                0.30745,                0.31501,                0.21014,                 1.0269,                 1.8271,                0.92635,              0.0081685,              0.0081685,              0.0081685
                     39,                0.88498,                0.90446,                0.87861,                 0.5559,                 0.3086,                0.31382,                0.20983,                 1.0271,                 1.8291,                0.92607,               0.008119,               0.008119,               0.008119
                     40,                0.88305,                0.90283,                0.87927,                 0.4535,                0.31106,                0.31336,                0.20954,                 1.0273,                 1.8316,                 0.9257,              0.0080695,              0.0080695,              0.0080695
                     41,                0.88352,                0.90279,                0.87945,                0.43689,                0.31784,                0.31391,                0.20963,                 1.0267,                 1.8292,                0.92536,                0.00802,                0.00802,                0.00802
                     42,                0.88237,                 0.9008,                0.87868,                0.45152,                0.31077,                0.31427,                0.20953,                 1.0258,                 1.8304,                0.92499,              0.0079705,              0.0079705,              0.0079705
                     43,                0.88056,                0.89733,                0.87796,                0.45267,                0.31165,                0.31443,                0.20991,                 1.0258,                 1.8377,                0.92498,               0.007921,               0.007921,               0.007921
                     44,                0.88118,                 0.8981,                0.87949,                0.44108,                0.31679,                0.31371,                 0.2099,                 1.0249,                 1.8421,                0.92468,              0.0078715,              0.0078715,              0.0078715
                     45,                0.87915,                0.89493,                0.87728,                0.41144,                 0.3295,                0.31373,                0.20996,                 1.0238,                 1.8405,                0.92412,               0.007822,               0.007822,               0.007822
                     46,                0.87815,                0.89441,                 0.8769,                0.42962,                0.32491,                0.31441,                0.20985,                 1.0239,                  1.843,                0.92387,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.8767,                0.89198,                0.87808,                0.57212,                0.31697,                0.31482,                0.21095,                 1.0243,                 1.8455,                0.92436,               0.007723,               0.007723,               0.007723
                     48,                0.87611,                  0.891,                0.87693,                 0.4898,                0.31322,                0.31571,                0.21223,                 1.0241,                 1.8499,                 0.9244,              0.0076735,              0.0076735,              0.0076735
                     49,                0.87538,                0.88927,                 0.8755,                0.49337,                0.31437,                0.31625,                0.21279,                 1.0236,                 1.8518,                0.92409,               0.007624,               0.007624,               0.007624
                     50,                0.87464,                0.88825,                 0.8757,                0.50224,                0.30972,                0.31656,                0.21246,                 1.0242,                 1.8545,                0.92407,              0.0075745,              0.0075745,              0.0075745
                     51,                0.87306,                0.88492,                0.87585,                0.49812,                0.30868,                0.31752,                0.21264,                  1.024,                 1.8566,                  0.924,               0.007525,               0.007525,               0.007525
                     52,                0.87319,                 0.8858,                0.87634,                0.59575,                0.30992,                0.31759,                 0.2124,                 1.0238,                 1.8591,                 0.9238,              0.0074755,              0.0074755,              0.0074755
                     53,                0.87175,                0.88454,                0.87641,                0.59842,                0.31055,                0.31908,                0.21393,                 1.0247,                 1.8644,                0.92446,               0.007426,               0.007426,               0.007426
                     54,                0.87157,                0.88355,                 0.8756,                0.58355,                 0.3122,                0.31908,                0.21399,                  1.025,                 1.8643,                0.92455,              0.0073765,              0.0073765,              0.0073765
                     55,                0.87087,                0.88151,                0.87513,                0.53887,                 0.3187,                0.31745,                0.21244,                 1.0251,                 1.8688,                0.92461,               0.007327,               0.007327,               0.007327
