                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.96521,                0.54737,                 0.8923,                0.41389,                0.32846,                0.31258,                0.20656,                0.96275,                0.83126,                0.91918,                0.00307,                0.00307,                0.00307
                     37,                0.95861,                0.53862,                0.88971,                0.41615,                0.32375,                0.31007,                0.20489,                0.96291,                0.83598,                0.91927,               0.002872,               0.002872,               0.002872
                     38,                0.95222,                0.52903,                0.88777,                0.41403,                0.32315,                0.30815,                0.20329,                0.96377,                0.84049,                 0.9195,               0.002674,               0.002674,               0.002674
                     39,                0.94555,                0.52105,                0.88555,                0.41533,                0.32283,                 0.3087,                 0.2032,                0.96479,                0.84337,                0.91991,               0.002476,               0.002476,               0.002476
                     40,                0.93672,                 0.5106,                0.88243,                0.42029,                0.32004,                0.30893,                0.20303,                0.96474,                0.84841,                0.91956,               0.002278,               0.002278,               0.002278
                     41,                0.92972,                0.50161,                0.88097,                0.51815,                0.32225,                 0.3087,                0.20271,                 0.9651,                0.85289,                0.91943,                0.00208,                0.00208,                0.00208
                     42,                0.92133,                0.49194,                0.87868,                0.43079,                0.32413,                0.30928,                0.20224,                0.96576,                0.85757,                 0.9194,               0.001882,               0.001882,               0.001882
                     43,                0.91318,                 0.4819,                0.87612,                0.51361,                0.32325,                0.30908,                0.20254,                0.96618,                0.86143,                0.91912,               0.001684,               0.001684,               0.001684
                     44,                0.90461,                0.47324,                0.87357,                0.41033,                0.32188,                0.30661,                0.20191,                0.96718,                0.86643,                0.91938,               0.001486,               0.001486,               0.001486
                     45,                 0.8979,                0.46422,                0.87176,                  0.516,                0.32112,                 0.3074,                 0.2021,                0.96825,                0.87045,                0.91975,               0.001288,               0.001288,               0.001288
                     46,                 0.8871,                0.45464,                0.86876,                0.51947,                0.31736,                 0.3068,                0.20152,                0.96896,                0.87499,                0.91994,                0.00109,                0.00109,                0.00109
                     47,                 0.8797,                0.44686,                0.86658,                0.51038,                0.31908,                 0.3054,                0.20151,                0.96994,                0.87941,                0.92008,               0.000892,               0.000892,               0.000892
                     48,                0.87102,                0.43855,                 0.8645,                0.51329,                0.31416,                0.30452,                0.20131,                0.97103,                0.88252,                0.92023,               0.000694,               0.000694,               0.000694
                     49,                0.86324,                0.43057,                0.86244,                0.40925,                0.31602,                 0.3045,                0.20116,                0.97245,                0.88814,                 0.9205,               0.000496,               0.000496,               0.000496
