                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.1527,                 0.7845,                 1.1078,                0.66009,                0.40912,                0.39428,                0.26999,                  1.106,                0.87474,                 1.1079,               0.006832,               0.006832,               0.006832
                     18,                 1.1466,                 0.7729,                 1.1046,                0.66331,                0.40816,                0.39529,                0.27136,                 1.1061,                0.87595,                 1.1074,               0.006634,               0.006634,               0.006634
                     19,                 1.1433,                0.76278,                  1.101,                 0.6663,                0.40759,                0.39676,                0.27246,                 1.1061,                 0.8773,                 1.1067,               0.006436,               0.006436,               0.006436
                     20,                  1.138,                0.74988,                 1.0952,                0.66014,                0.40829,                0.39703,                0.27329,                  1.106,                0.87841,                 1.1056,               0.006238,               0.006238,               0.006238
                     21,                 1.1319,                0.73817,                 1.0933,                0.65719,                0.40804,                0.39687,                0.27432,                  1.105,                0.87852,                 1.1049,                0.00604,                0.00604,                0.00604
                     22,                 1.1283,                 0.7282,                 1.0919,                0.64702,                0.41183,                 0.3972,                0.27432,                 1.1041,                0.88098,                 1.1043,               0.005842,               0.005842,               0.005842
                     23,                 1.1228,                0.71708,                  1.086,                0.64811,                0.41179,                0.39676,                0.27382,                 1.1046,                0.88382,                 1.1039,               0.005644,               0.005644,               0.005644
                     24,                 1.1167,                0.70566,                 1.0827,                0.64926,                0.40727,                0.39554,                0.27327,                 1.1051,                0.88719,                 1.1034,               0.005446,               0.005446,               0.005446
                     25,                 1.1128,                 0.6973,                 1.0815,                0.65637,                0.40297,                0.39339,                 0.2717,                 1.1055,                0.88896,                 1.1027,               0.005248,               0.005248,               0.005248
                     26,                 1.1059,                0.68561,                 1.0769,                0.66474,                0.39725,                0.39187,                0.27032,                 1.1061,                0.89165,                 1.1025,                0.00505,                0.00505,                0.00505
                     27,                 1.1026,                0.67654,                  1.076,                0.56668,                0.39557,                0.39144,                0.27026,                 1.1069,                0.89384,                 1.1027,               0.004852,               0.004852,               0.004852
                     28,                 1.0974,                0.66413,                 1.0702,                0.56521,                0.39537,                0.39008,                0.26857,                 1.1075,                0.89784,                 1.1023,               0.004654,               0.004654,               0.004654
                     29,                 1.0922,                0.65579,                 1.0685,                0.56194,                0.39676,                0.38741,                0.26677,                 1.1083,                0.90154,                 1.1024,               0.004456,               0.004456,               0.004456
                     30,                 1.0865,                0.64539,                 1.0665,                0.55386,                0.40349,                0.38522,                 0.2651,                  1.109,                0.90544,                 1.1033,               0.004258,               0.004258,               0.004258
                     31,                 1.0811,                0.63686,                 1.0637,                0.55426,                0.40142,                0.38437,                0.26497,                 1.1096,                0.90951,                 1.1042,                0.00406,                0.00406,                0.00406
                     32,                 1.0758,                0.62604,                 1.0599,                0.55309,                0.40091,                 0.3829,                0.26401,                 1.1101,                0.91297,                 1.1043,               0.003862,               0.003862,               0.003862
                     33,                  1.071,                0.61669,                 1.0553,                0.45882,                0.39645,                0.38381,                0.26512,                  1.111,                0.91651,                 1.1043,               0.003664,               0.003664,               0.003664
                     34,                  1.066,                0.60871,                 1.0563,                0.46351,                0.39316,                0.38469,                 0.2661,                 1.1117,                   0.92,                 1.1047,               0.003466,               0.003466,               0.003466
                     35,                 1.0603,                0.59833,                 1.0521,                0.46573,                 0.3912,                0.38377,                0.26506,                 1.1124,                0.92316,                  1.105,               0.003268,               0.003268,               0.003268
                     36,                 1.0543,                 0.5897,                 1.0472,                0.56633,                0.38896,                0.38257,                0.26431,                 1.1136,                0.92613,                 1.1055,                0.00307,                0.00307,                0.00307
                     37,                 1.0481,                0.57934,                 1.0428,                0.57563,                0.38861,                0.38298,                0.26447,                  1.115,                0.92986,                 1.1054,               0.002872,               0.002872,               0.002872
                     38,                 1.0424,                 0.5708,                 1.0406,                0.56987,                0.38925,                0.38113,                0.26349,                 1.1156,                0.93505,                 1.1055,               0.002674,               0.002674,               0.002674
                     39,                 1.0372,                0.56204,                 1.0385,                0.57259,                 0.3926,                0.38182,                0.26445,                 1.1162,                0.93906,                 1.1058,               0.002476,               0.002476,               0.002476
                     40,                 1.0311,                0.55196,                 1.0331,                 0.5889,                0.39378,                0.38297,                0.26579,                 1.1169,                0.94348,                 1.1054,               0.002278,               0.002278,               0.002278
                     41,                 1.0248,                0.54325,                 1.0314,                0.49953,                0.39353,                0.38333,                0.26606,                 1.1171,                0.94687,                 1.1053,                0.00208,                0.00208,                0.00208
                     42,                 1.0189,                0.53376,                 1.0264,                0.50978,                0.39133,                0.38361,                0.26592,                 1.1178,                 0.9494,                 1.1054,               0.001882,               0.001882,               0.001882
                     43,                 1.0111,                0.52433,                 1.0229,                0.51746,                0.39078,                 0.3831,                0.26521,                 1.1188,                0.95384,                 1.1058,               0.001684,               0.001684,               0.001684
                     44,                 1.0054,                0.51654,                 1.0184,                0.50798,                0.39166,                0.38103,                0.26382,                 1.1195,                0.95943,                 1.1053,               0.001486,               0.001486,               0.001486
                     45,                0.99893,                0.50753,                 1.0149,                0.52426,                0.39011,                  0.379,                0.26316,                 1.1203,                0.96603,                 1.1052,               0.001288,               0.001288,               0.001288
                     46,                0.99125,                0.49827,                 1.0079,                 0.5615,                0.38665,                0.37791,                0.26275,                 1.1207,                  0.972,                 1.1045,                0.00109,                0.00109,                0.00109
                     47,                0.98365,                0.48904,                 1.0065,                0.56783,                0.37672,                0.37553,                0.26063,                 1.1217,                0.97881,                 1.1043,               0.000892,               0.000892,               0.000892
                     48,                0.97829,                0.48105,                 1.0037,                0.56085,                0.37441,                0.37353,                0.25893,                 1.1234,                0.98587,                 1.1048,               0.000694,               0.000694,               0.000694
                     49,                0.97127,                0.47429,                  1.001,                0.56482,                 0.3728,                0.37241,                0.25828,                 1.1249,                0.99252,                 1.1056,               0.000496,               0.000496,               0.000496
